Price,Close,High,Low,Open,Volume,Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2018-07-25,45.944942474365234,45.95201716965976,45.381298693402805,45.5298744916329,66839600,0.009430194743017095
2018-07-26,45.801082611083984,46.21378994746489,45.65958151348729,45.89541427713352,76304000,-0.0031311359974280917
2018-07-27,45.03933334350586,46.03219071080195,44.83180299005585,45.98502488495066,96096000,-0.016631686941692037
2018-07-30,44.78700256347656,45.327058027636596,44.58890389877771,45.25630747638057,84118000,-0.005602453706515131
2018-07-31,44.87662887573242,45.31292106268138,44.652588400754645,44.878989507152546,157492000,0.002001167908676882
2018-08-01,47.520294189453125,47.58160940261683,46.53215449381962,46.96137178153096,271742800,0.058909623560211344
2018-08-02,48.90935134887695,49.14282705476914,47.24909045809848,47.303330980206844,249616000,0.029230819865844193
2018-08-03,49.050865173339844,49.22773977263983,48.45892254462788,48.82446410288577,133789600,0.002893389925649359
2018-08-06,49.30556106567383,49.348009238803435,48.83389550544632,49.05321826366124,101701600,0.005192485217822673
2018-08-07,48.84332275390625,49.40696290274609,48.760779849027344,49.36451473350938,102349600,-0.00937497316280178
2018-08-08,48.87633514404297,49.00840090208241,48.23251277433969,48.59333657702674,90102000,0.0006758833812976484
2018-08-09,49.260746002197266,49.472994037920536,48.86454511071905,49.414035850383826,93970400,0.007864968947066231
2018-08-10,49.1140251159668,49.48558286476212,48.91049747261403,49.07379336928748,98444800,-0.0029784544112247957
2018-08-13,49.431148529052734,49.923401518257236,49.154256899714554,49.535279455192196,103563600,0.006456880948713772
2018-08-14,49.63941192626953,49.83110585938184,49.28678739016667,49.73644334784153,82992000,0.004213201663610722
2018-08-15,49.75537109375,49.87370102571761,49.303349886959445,49.51397702141606,115230400,0.0023360302425159407
2018-08-16,50.484275817871094,50.60023682148504,50.04645369529504,50.112718157686544,114001600,0.014649769624824671
2018-08-17,51.49244689941406,51.580009882061766,50.44641087085181,50.51267533520291,141708000,0.01997000185127118
2018-08-20,50.990726470947266,51.87109768021594,50.90789408938502,51.615508252096106,121150800,-0.009743573255449722
2018-08-21,50.8913459777832,51.40016695617131,50.65232076625125,51.307869734773455,104639200,-0.001948991513597842
2018-08-22,50.893707275390625,51.20373113650399,50.60734723529338,50.66888111445021,76072400,4.639880439505362e-05
2018-08-23,50.997833251953125,51.36702204650788,50.78720612628316,50.799036230072055,75532800,0.0020459499245961688
2018-08-24,51.15639114379883,51.33151711174363,50.90789759315165,51.26052204968089,73905600,0.003109110362833567
2018-08-27,51.57764434814453,51.76697293591533,51.19662187429495,51.390681058681736,82100400,0.008234615361384146
2018-08-28,51.994171142578125,52.192964560685056,51.80957673845841,51.83087525943924,91107200,0.008075723497996012
2018-08-29,52.77041244506836,52.89111127993572,51.92553865671049,52.10066463492159,109019200,0.01492939084193945
2018-08-30,53.255558013916016,54.01996820716036,52.63314154334192,52.83430383105253,195175200,0.009193514819552995
2018-08-31,53.87089157104492,54.16434752163263,53.4851347972511,53.605830040366044,173360400,0.011554353762815106
2018-09-04,54.043643951416016,54.23770315227704,53.63422341854379,54.0554776662455,109560400,0.0032067852477115633
2018-09-05,53.691017150878906,54.353665430113836,53.272131830936814,54.19273847104645,133332000,-0.006524852411027515
2018-09-06,52.7988166809082,53.80462109487018,52.37282820688396,53.539559593731255,137160000,-0.016617313608783046
2018-09-07,52.372825622558594,53.33602933601762,52.233197177478694,52.50298926252407,150479200,-0.008068193287817493
2018-09-10,51.66994857788086,52.502992310884245,51.22976108607632,52.28999626644421,158066000,-0.013420643937435028
2018-09-11,52.976314544677734,53.08281076636289,51.25106203103439,51.59421812808349,142996000,0.02528289659177463
2018-09-12,52.31840515136719,53.24847681301907,52.0273108780994,53.23427779698521,197114800,-0.012418934744048649
2018-09-13,53.58216094970703,54.04128166600447,52.67338793396075,52.89821408368517,166825600,0.024155090253297207
2018-09-14,52.97393798828125,53.683917511891266,52.661548875687,53.425959151653856,127997200,-0.011351221202083761
2018-09-17,51.56344985961914,52.763313434962186,51.41908720503265,52.573984830581786,148780400,-0.026626076561914958
2018-09-18,51.648651123046875,52.50299339478895,51.3835896141256,51.54215129305673,126286800,0.0016523577002642842
2018-09-19,51.67940139770508,51.975226159309635,50.95285766099817,51.71016832847742,108495200,0.0005953742060937905
2018-09-20,52.07227325439453,52.60475798589657,51.864011403841246,52.12197341823773,106435200,0.007602097664910268
2018-09-21,51.511375427246094,52.38701600738887,51.42380884143232,52.24975288340984,384986800,-0.010771525652590985
2018-09-24,52.25212860107422,52.36335902352826,51.267626333584346,51.31259228450954,110773600,0.014380380404991344
2018-09-25,52.583438873291016,52.73253569529579,51.994154701162344,52.00598841279066,98217600,0.006340608145291693
2018-09-26,52.16455841064453,52.95263606451722,52.00836205881916,52.30182154305388,95938800,-0.007966014996772075
2018-09-27,53.236637115478516,53.5892616223279,52.902945831595176,52.969213917547854,120724800,0.020551860065496586
2018-09-28,53.42359924316406,53.44726306298628,53.01654398633508,53.19876948242372,91717600,0.0035119071717470973
2018-10-01,53.7833137512207,54.29449987051598,53.56795604203852,53.94660961803524,94403200,0.006733251094134474
2018-10-02,54.26137161254883,54.43176699813006,53.634224437244896,53.78095239271763,99152800,0.008888590679619002
2018-10-03,54.9216423034668,55.252964583740315,54.379689331489814,54.44358848952185,114619200,0.012168337646025762
2018-10-04,53.95608139038086,54.987918497825,53.657887663337085,54.61636079385546,128168000,-0.01758069993156397
2018-10-05,53.08042907714844,54.055469984480176,52.202423173171816,53.948973788434415,134322000,-0.016228982733140662
2018-10-08,52.95736312866211,53.201122427655946,52.112485930508065,52.58817442770608,118655600,-0.00231848066464313
2018-10-09,53.691017150878906,53.78568325427967,52.597649837383955,52.92660687302358,107564000,0.013853673575747294
2018-10-10,51.20372772216797,53.567961035959435,51.130363742966665,53.35733390390222,167962400,-0.04632598823228329
2018-10-11,50.751708984375,51.946842063881995,50.24762591104082,50.76827690881467,212497600,-0.008827848242722203
2018-10-12,52.56451416015625,52.746743237513996,51.31731586452513,52.164558475955246,161351600,0.0357190962050038
2018-10-15,51.44038391113281,52.49825370424345,51.419085391816054,52.33969204186986,123164000,-0.02138572508438641
2018-10-16,52.5739860534668,52.77278307881881,51.29838956224378,51.81194102118885,116736000,0.022037202216304674
2018-10-17,52.34678649902344,52.68994251799394,51.90896438476094,52.60947904535247,91541600,-0.004321520422900793
2018-10-18,51.123252868652344,52.003627645600474,50.40853923550798,51.55870604983427,130325200,-0.023373614928471675
2018-10-19,51.90187072753906,52.363356709270114,51.456949057386716,51.606045917308556,132314800,0.015230209644272241
2018-10-22,52.21900177001953,52.860351642227485,51.814315392093164,52.01547412607482,115168400,0.00611020446922339
2018-10-23,52.71125030517578,52.83431444512656,50.81087189308462,51.07829869399411,155071200,0.009426617102413992
2018-10-24,50.90316390991211,53.066234694184615,50.77300027621806,52.68048161214551,163702000,-0.03430171708687646
2018-10-25,52.017845153808594,52.39176821772767,51.29603175862123,51.52322684458672,119423200,0.02189807387747522
2018-10-26,51.18952941894531,52.11013614750111,50.3304529551545,51.09486330644962,189033600,-0.015923684120595194
2018-10-29,50.228694915771484,51.9918103235721,48.7732344672493,51.8734803819594,183742000,-0.018770137449597657
2018-10-30,50.47954177856445,50.924459797370716,49.525802965453806,49.970720984260076,146640000,0.004994094774184665
2018-10-31,51.795379638671875,52.17166796781139,51.265260226318844,51.32679410406147,153435600,0.02606675523877633
2018-11-01,52.590553283691406,52.623685518956215,51.310222601060566,51.840341976440314,233292800,0.015352211926367154
2018-11-02,49.10218811035156,50.56237905391569,48.617034661599845,49.592075767555244,365314800,-0.06633064220721185
2018-11-05,47.7082633972168,48.37091177031548,46.898887056991256,48.34961324821186,264654800,-0.028388240255242336
2018-11-06,48.224185943603516,48.44901211289893,47.731932947771526,47.78636371038881,127531600,0.010814112894681926
2018-11-07,49.686729431152344,49.71276215629283,48.30937113036729,48.744824340769675,133697600,0.030328007802126855
2018-11-08,49.51337432861328,49.90047339465784,49.100148077728555,49.86722555541948,101450400,-0.00348896183193681
2018-11-09,48.558685302734375,48.92441156528244,48.03146693327073,48.815170208722876,137463200,-0.01928143736564525
2018-11-12,46.11258316040039,47.461503388574435,46.02233746371556,47.2596391587509,204542000,-0.05037414269113749
2018-11-13,45.651851654052734,46.82740454065561,45.46661319307252,45.509362481467676,187531600,-0.009991448640927825
2018-11-14,44.36231994628906,46.186207990732846,44.155704967567836,46.048465879499844,243204000,-0.028247084423555724
2018-11-15,45.45711898803711,45.59011034254825,44.38605662645267,44.73991147050331,185915200,0.024678579548444546
2018-11-16,45.9605827331543,46.30256253867102,44.994018333700204,45.241001735605465,147713200,0.01107557531856962
2018-11-19,44.13907241821289,45.28850181754832,43.93246111209579,45.122262627353955,167701200,-0.039632010880215285
2018-11-20,42.03019332885742,43.096504796148025,41.6810892663004,42.36029811179492,271300800,-0.047778056352749565
2018-11-21,41.982704162597656,42.81153021281317,41.92808348913567,42.68328595925916,124496800,-0.0011298821751353216
2018-11-23,40.91639709472656,41.93996319137456,40.87127786952604,41.54573618072765,94496000,-0.025398722858378076
2018-11-26,41.46973419189453,41.548104874515914,40.434296833953724,41.37949212830179,179994000,0.013523602674177848
2018-11-27,41.3795051574707,41.50537227483732,40.58155314758855,40.73116665811759,165549600,-0.0021757803897731742
2018-11-28,42.97064971923828,43.05376751403634,41.543358788745984,41.9708336400061,184250000,0.03845247920951289
2018-11-29,42.64053726196289,43.4123654086961,42.20118748278702,43.37911757194036,167080000,-0.007682277541351645
2018-11-30,42.410186767578125,42.825786644844754,42.042083294393294,42.816285189782384,158126000,-0.005402148030396625
2018-12-03,43.892093658447266,43.920590773009714,43.03477043251187,43.80659869101698,163210000,0.03494223920753958
2018-12-04,41.96133804321289,43.31500545781259,41.861594509899575,42.973025558599346,165377200,-0.04398868803704903
2018-12-06,41.49348449707031,41.507733053331634,40.472295688010675,40.79052552365589,172393600,-0.011149633638011469
2018-12-07,40.013954162597656,41.43886790910072,39.96883131415951,41.20138228468355,169126400,-0.035656931501549805
2018-12-10,40.277565002441406,40.39393064398245,38.78852906163199,39.18512963582418,248104000,0.006587972755018434
2018-12-11,40.04719543457031,40.797647130558154,39.66009277068402,40.76677646859411,189126800,-0.005719550520423167
2018-12-12,40.158809661865234,40.828517056992325,40.13981038220844,40.467537990997414,142510800,0.0027870672611089997
2018-12-13,40.59816360473633,40.982892750447746,40.26568520596623,40.488922255315906,127594400,0.010940412491565965
2018-12-14,39.299110412597656,40.1540598989454,39.2516140241877,40.13506061883299,162814800,-0.03199783134986722
2018-12-17,38.933387756347656,39.98070006589324,38.64602860130792,39.2919896885735,177151600,-0.009306130658183198
2018-12-18,39.439239501953125,39.78596648532235,39.04026176741648,39.2753738408261,135366000,0.01299274927656402
2018-12-19,38.20905685424805,39.76696176214106,37.78158206275483,39.42260837756745,196189200,-0.031191845056854017
2018-12-20,37.2448616027832,38.4987850963863,36.88150897814493,38.0926831856918,259092000,-0.025234730476150102
2018-12-21,35.79621124267578,37.56073151799907,35.53497920022275,37.251999446242344,382978400,-0.03889530791004925
2018-12-24,34.870018005371094,35.990950549802086,34.81302014550831,35.18349717525792,148676800,-0.025874057760629454
2018-12-26,37.32561492919922,37.339863486779244,34.843890893788085,35.219118612948485,234330000,0.0704214412349855
2018-12-27,37.083377838134766,37.230621385586616,35.639468468150554,37.00975787628032,212468400,-0.0064898352384532565
2018-12-28,37.10236740112305,37.64621135368628,36.703393406418876,37.40397507190618,169165600,0.000512077488495466
2018-12-31,37.460975646972656,37.84570111622469,37.16174150533906,37.64858765548356,140014000,0.009665373693613866
2019-01-02,37.50373077392578,37.72459429722969,36.627408207295694,36.784149594963864,148158800,0.0011413244373570386
2019-01-03,33.76808166503906,34.6064056330403,33.72295881640133,34.19317934017915,365248800,-0.0996073998985697
2019-01-04,35.2096061706543,35.27847900912154,34.15042265199752,34.32378608802359,234428400,0.04268896645993614
2019-01-07,35.131248474121094,35.34498772125398,34.649152921842216,35.314113428905806,219111200,-0.0022254635894937147
2019-01-08,35.80095291137695,36.05506423362693,35.271361057087084,35.51834447775036,164101200,0.01906292734655257
2019-01-09,36.40890884399414,36.69864150293026,35.53496376531212,35.929187021597,180396400,0.016981557282068627
2019-01-10,36.52528762817383,36.56565974711911,35.82707935334201,36.2165556097032,143122800,0.0031964370225525673
2019-01-11,36.166683197021484,36.50153878834281,35.98144470474648,36.30680246578782,108092800,-0.009817976926093652
2019-01-14,35.622840881347656,35.924448615457706,35.43760239866407,35.824705095839064,129756800,-0.015037107846223918
2019-01-15,36.35192108154297,36.42791458616587,35.634713583499995,35.68696070331559,114843600,0.020466649547230986
